type,boundary,entrance,white_south,white_west,white_m1,white_m2,black1,room1,room2,room3,living,dining,bath1,kitchen
x,0,5700,0,-900,5700,0,0,6600,1200,0,5400,2400,0,2700
y,0,8400,-900,0,0,0,7500,900,0,1500,4200,3900,5100,7500
w,8100,900,8100,900,2400,1200,2700,1500,6300,5400,2700,3000,2400,3000
d,8400,900,900,8400,900,2100,900,3300,1500,2400,3300,3600,2400,900
