type,boundary,entrance,white_south,white_north,white_west,white_m1,black1,room1,room2,living,dining,bath1,kitchen
x,0,5400,0,0,-900,0,5400,3000,0,0,2700,4200,0
y,0,600,-900,10200,0,8400,600,6600,5400,1500,1800,5400,0
w,6300,900,6300,6300,900,3000,900,3300,3000,2700,2700,2100,2700
d,10200,900,900,900,10200,1800,4800,3600,3000,3900,3600,1200,1800
