type,boundary,entrance,white_south,white_west,white_m1,white_m2,black1,room1,room2,room3,living,dining,bath1,kitchen
x,0,5700,0,-900,5700,0,0,0,6600,0,1800,4200,6600,4200
y,0,8400,-900,0,0,0,7500,4800,900,0,0,4800,3900,6900
w,8100,900,8100,900,2400,1200,2700,4200,1500,1800,4800,2400,1500,1500
d,8400,900,900,8400,900,2100,900,3600,3000,4800,4800,2100,3000,1500
