type,boundary,entrance,white_south,white_west,white_m1,white_m2,black1,room1,room2,room3,living,dining,bath1,kitchen
x,0,5700,0,-900,5700,0,0,0,5700,1200,5400,3000,0,0
y,0,8400,-900,0,0,0,7500,6000,900,0,3300,2100,2100,3900
w,8100,900,8100,900,2400,1200,2700,5400,2400,4500,2700,2700,3000,3000
d,8400,900,900,8400,900,2100,900,2400,2400,2100,5100,3900,1800,900
