type,boundary,entrance,white_south,white_west,white_m1,white_m2,black1,room1,room2,room3,living,dining,bath1,kitchen
x,0,5700,0,-900,5700,0,0,0,4500,4500,2700,0,1200,3000
y,0,8400,-900,0,0,0,7500,2100,0,3000,6000,4500,0,0
w,8100,900,8100,900,2400,1200,2700,2400,3600,3600,5400,2700,1800,1500
d,8400,900,900,8400,900,2100,900,2400,3000,3000,2400,3000,2100,1500
