type,boundary,entrance,white_south,white_west,white_m1,white_m2,black1,room1,room2,room3,living,dining,bath1,kitchen
x,0,5700,0,-900,5700,0,0,6600,0,1200,2100,2100,6600,2700
y,0,8400,-900,0,0,0,7500,1800,2100,0,1800,4500,4500,7500
w,8100,900,8100,900,2400,1200,2700,1500,2100,6900,4500,4500,1500,3000
d,8400,900,900,8400,900,2100,900,2700,5400,1800,2700,3000,2400,900
